, ,Time,StnPres,Temperature,RH,WS,WD,Precp,Holiday,target
266,3674,0,999.6,28.1,87.0,0.0,0.0,0.0,0,0
267,3695,0,998.9,29.0,82.0,0.0,0.0,0.0,0,0
268,3716,0,1000.0,27.1,92.0,0.1,0.0,0.0,0,0
269,3737,0,998.9,28.4,91.0,0.0,0.0,0.0,0,0
270,3758,0,998.0,29.8,84.0,0.6,227.0,0.0,0,0
271,3821,0,995.1,30.0,88.0,2.0,227.0,0.0,0,0
272,3842,0,994.7,29.8,76.0,1.3,226.0,0.0,0,0
273,3863,0,997.3,26.7,96.0,0.0,0.0,0.0,0,0
274,3884,0,998.9,27.8,93.0,0.1,0.0,0.0,0,0
275,3905,0,998.8,28.9,81.0,0.0,0.0,0.0,0,0
276,3968,0,997.7,27.2,89.0,0.3,67.0,0.0,0,0
277,3989,0,997.2,27.4,88.0,0.3,65.0,0.0,0,0
278,4010,0,995.5,28.0,88.0,0.1,0.0,0.0,0,0
279,4031,0,991.5,27.9,91.0,0.1,0.0,0.0,0,0
280,4052,0,989.4,27.3,91.0,0.2,0.0,0.0,0,0
281,4115,0,994.3,27.5,90.0,0.3,199.0,0.0,0,0
282,4136,0,991.9,29.4,76.0,0.9,226.0,0.0,0,0
283,4157,0,994.4,27.3,98.0,0.5,205.0,0.0,0,0
284,4178,0,995.6,26.9,98.0,0.8,162.0,0.0,0,0
285,4199,0,997.6,26.7,95.0,0.1,0.0,0.0,0,0
286,4262,0,990.2,28.6,87.0,0.2,0.0,0.0,0,0
287,4283,0,989.1,27.6,94.0,0.2,0.0,0.0,0,0
288,4304,0,990.8,27.1,96.0,0.2,0.0,0.0,0,0
289,4325,0,991.7,29.0,79.0,1.2,91.0,0.0,0,0
290,4346,0,995.4,27.1,93.0,0.1,0.0,0.0,0,0
291,4409,0,1001.5,25.9,96.0,0.1,0.0,0.5,0,0
292,4430,0,1005.2,24.6,96.0,0.1,0.0,0.0,0,0
293,4451,0,1005.1,25.4,93.0,0.2,0.0,0.0,0,0
294,4472,0,1001.9,25.9,91.0,0.1,0.0,0.0,0,0
295,4493,0,999.4,26.3,87.0,0.2,0.0,0.0,0,0
296,4556,0,999.1,28.6,82.0,0.0,0.0,0.0,0,0
297,4577,0,998.7,27.7,86.0,0.3,117.0,0.0,0,0
298,4598,0,1000.3,26.1,95.0,0.2,0.0,0.0,0,0
299,4619,0,1001.9,24.6,99.0,0.0,0.0,0.0,0,0
300,4640,0,1006.1,22.5,91.0,0.5,71.0,0.0,0,0
301,4703,0,1002.2,27.7,78.0,0.8,89.0,0.0,0,0
302,4724,0,1002.8,27.4,77.0,1.4,74.0,0.0,0,0
303,4745,0,1001.6,27.6,81.0,2.2,78.0,0.0,0,0
304,4766,0,997.9,28.7,78.0,3.5,82.0,1.5,0,0
305,4787,0,1003.4,28.4,76.0,1.8,88.0,0.0,0,0
306,4850,0,1003.5,26.6,73.0,1.1,79.0,0.0,0,0
307,4871,0,1003.4,27.5,80.0,0.0,0.0,0.0,0,0
308,4892,0,1006.4,27.6,81.0,0.0,0.0,0.0,0,0
309,4913,0,1006.9,27.0,89.0,0.9,64.0,0.0,0,0
310,4934,0,1005.3,26.7,90.0,0.2,0.0,0.0,0,0
311,4997,0,1001.9,23.4,96.0,0.2,0.0,0.5,0,0
312,5018,0,1001.8,24.9,82.0,1.0,352.0,0.0,0,0
313,5039,0,999.8,24.1,82.0,0.6,247.0,0.5,0,0
314,5060,0,1001.5,21.0,82.0,0.0,0.0,0.0,0,0
315,5081,0,1006.1,23.5,66.0,1.6,105.0,0.0,0,0
316,5144,0,1007.0,23.5,68.0,0.1,0.0,0.0,0,0
317,5165,0,1001.4,20.7,90.0,1.2,208.0,0.5,0,0
318,5186,0,1003.9,23.4,67.0,1.2,83.0,0.0,0,0
319,5207,0,1007.7,23.4,86.0,1.0,66.0,0.0,0,0
320,5228,0,1007.3,23.5,87.0,0.9,65.0,0.0,0,0
321,5291,0,1008.8,21.7,94.0,0.3,64.0,0.0,0,0
322,5312,0,1012.6,19.7,91.0,1.4,73.0,0.0,0,0
323,5333,0,1012.3,19.0,91.0,0.9,67.0,0.0,0,0
324,5354,0,1010.4,20.9,91.0,2.0,70.0,0.0,0,0
325,5375,0,1008.3,22.7,95.0,0.8,72.0,0.0,0,0
326,5438,0,1006.9,21.3,89.0,0.9,73.0,0.0,0,0
327,5459,0,1010.7,22.5,67.0,1.8,72.0,0.0,0,1
328,5480,0,1013.0,20.9,74.0,0.9,74.0,0.0,0,1
329,5501,0,1011.6,20.8,77.0,1.2,81.0,0.0,0,0
330,5522,0,1008.3,22.1,84.0,0.5,80.0,0.0,0,0
331,5606,0,1007.8,23.3,90.0,0.0,0.0,0.0,0,1
332,5627,0,1010.2,23.1,83.0,1.8,87.0,0.0,0,1
333,5648,0,1011.9,19.5,60.0,0.5,105.0,0.0,0,0
